name,seats,race,time,launch,dock,re_rig
The Gunn,8,,,,,
Roger Drummond,8,,,,,
James Bennett,4,,,,,
Ella Flecker,4,,,,,
Walker,1,,,,,
Hodgkin,1,,,,,
The Plank,8,123,05:54 pm,05:29 pm,06:17 pm,
The Plank,8,132,09:06 am,08:36 am,09:29 am,
The Plank,8,167,02:30 pm,02:05 pm,02:53 pm,
The Plank,8,180,03:46 pm,03:16 pm,04:09 pm,
Annette Douglass,8,159,12:48 pm,12:23 pm,01:11 pm,
Clemes,4,1,08:00 am,07:40 am,08:23 am,
Clemes,4,44,11:17 am,10:57 am,11:40 am,
Clemes,4,94,03:25 pm,03:05 pm,03:48 pm,
Clemes,4,131,09:00 am,08:30 am,09:23 am,
Clemes,4,148,10:42 am,10:17 am,11:05 am,
Clemes,4,166,02:26 pm,02:01 pm,02:49 pm,
Clemes,4,179,03:40 pm,03:10 pm,04:03 pm,
Stephanie Farrell,4,45,11:21 am,11:01 am,11:44 am,
Stephanie Farrell,4,94,03:25 pm,03:05 pm,03:48 pm,
Stephanie Farrell,4,133,09:12 am,08:42 am,09:35 am,
Stephanie Farrell,4,166,02:26 pm,02:01 pm,02:49 pm,
Stephanie Farrell,4,181,03:52 pm,03:22 pm,04:15 pm,
Nemo,4,20,09:16 am,08:56 am,09:39 am,
Nemo,4,58,12:17 pm,12:07 pm,12:40 pm,
Nemo,4,83,02:41 pm,02:21 pm,03:04 pm,
Nemo,4,110,04:58 pm,04:38 pm,05:21 pm,
Nemo,4,139,09:46 am,09:26 am,10:09 am,
Nemo,4,170,02:50 pm,02:40 pm,03:13 pm,
Tim and Jo Morris,4,21,09:20 am,09:00 am,09:43 am,
Tim and Jo Morris,4,58,12:17 pm,12:07 pm,12:40 pm,
Tim and Jo Morris,4,84,02:45 pm,02:25 pm,03:08 pm,
Tim and Jo Morris,4,111,05:02 pm,04:42 pm,05:25 pm,
Tim and Jo Morris,4,146,10:28 am,09:58 am,10:51 am,
Tim and Jo Morris,4,170,02:50 pm,02:40 pm,03:13 pm,
Ibbott Family,4,13,08:48 am,08:28 am,09:11 am,
Ibbott Family,4,38,10:53 am,10:33 am,11:16 am,
Ibbott Family,4,74,02:05 pm,01:45 pm,02:28 pm,
Ibbott Family,4,99,04:10 pm,04:00 pm,04:33 pm,
Ibbott Family,4,117,05:26 pm,05:06 pm,05:49 pm,
Ibbott Family,4,152,11:58 am,11:48 am,12:21 pm,
Ibbott Family,4,174,03:10 pm,02:50 pm,03:33 pm,
NoNameA,4,12,08:44 am,08:24 am,09:07 am,
NoNameA,4,27,09:48 am,09:38 am,10:11 am,
NoNameA,4,74,02:05 pm,01:45 pm,02:28 pm,
NoNameA,4,99,04:10 pm,04:00 pm,04:33 pm,
NoNameA,4,117,05:26 pm,05:06 pm,05:49 pm,
NoNameA,4,160,12:52 pm,12:27 pm,01:15 pm,
NoNameB,4,19,09:12 am,08:52 am,09:35 am,
NoNameB,4,56,12:09 pm,11:59 am,12:32 pm,
NoNameB,4,74,02:05 pm,01:45 pm,02:28 pm,
NoNameB,4,100,04:14 pm,04:04 pm,04:37 pm,
NoNameB,4,118,05:30 pm,05:10 pm,05:53 pm,
NoNameB,4,162,01:04 pm,12:44 pm,01:27 pm,
Alex Hutchinson,2,91,03:13 pm,02:53 pm,03:36 pm,
Alex Hutchinson,2,120,05:38 pm,05:18 pm,06:01 pm,
Alex Hutchinson,2,144,10:16 am,09:46 am,10:39 am,re_rig
Alex Hutchinson,2,164,01:20 pm,12:50 pm,01:43 pm,
NoName Sykes Pair,2,37,10:49 am,10:29 am,11:12 am,
NoName Sykes Pair,2,90,03:09 pm,02:49 pm,03:32 pm,
NoName Sykes Pair,2,120,05:38 pm,05:18 pm,06:01 pm,
NoName Sykes Pair,2,145,10:22 am,09:52 am,10:45 am,
David Reid,2,6,08:20 am,08:00 am,08:43 am,
David Reid,2,36,10:45 am,10:25 am,11:08 am,
David Reid,2,88,03:01 pm,02:41 pm,03:24 pm,re_rig
David Reid,2,121,05:42 pm,05:22 pm,06:05 pm,re_rig
David Reid,2,145,10:22 am,09:52 am,10:45 am,
GH2,2,5,08:16 am,07:56 am,08:39 am,
GH2,2,34,10:37 am,10:17 am,11:00 am,re_rig
GH2,2,88,03:01 pm,02:41 pm,03:24 pm,
GH2,2,144,10:16 am,09:46 am,10:39 am,
GH2,2,164,01:20 pm,12:50 pm,01:43 pm,
Dianna Wilson,2,4,08:12 am,07:52 am,08:35 am,
