name,seats,race,time,launch,dock,re_rig
The Gunn,8,,,,,
Roger Drummond,8,,,,,
Annette Douglass,8,,,,,
Ella Flecker,4,,,,,
Stephanie Farrell,4,,,,,
Nemo,4,,,,,
Tim and Jo Morris,4,,,,,
Ibbott Family,4,,,,,
NoNameA,4,,,,,
NoNameB,4,,,,,
Chris Potter,2,,,,,
Kerry Hore,2,,,,,
Kate Hornsey,2,,,,,
Lee Peterson,2,,,,,
Friends' Old Scholars,2,,,,,
Walker,1,,,,,
Unwin,1,,,,,
Megan Volker,1,,,,,
Backhouse,1,,,,,
Given,1,,,,,
Sam Volker,1,,,,,
Leonie Mulchay,1,,,,,
Steven Crombie,1,,,,,
Morris,1,,,,,
NoName Sykes Single,1,,,,,
The Plank,8,2,09:40 am,09:15 am,10:13 am,
The Plank,8,49,04:07 pm,03:42 pm,04:40 pm,
James Bennett,4,7,10:10 am,09:45 am,10:43 am,
James Bennett,4,25,12:52 pm,12:27 pm,01:25 pm,re_rig
James Bennett,4,44,03:36 pm,03:21 pm,04:09 pm,
James Bennett,4,56,08:39 am,08:14 am,09:12 am,re_rig
James Bennett,4,71,11:03 am,10:38 am,11:36 am,re_rig
Clemes,4,7,10:10 am,09:45 am,10:43 am,
Clemes,4,25,12:52 pm,12:27 pm,01:25 pm,re_rig
Clemes,4,56,08:39 am,08:14 am,09:12 am,re_rig
Alex Hutchinson,2,62,09:15 am,08:50 am,09:48 am,
Alex Hutchinson,2,85,01:10 pm,12:45 pm,01:43 pm,
NoName Sykes Pair,2,62,09:15 am,08:50 am,09:48 am,
NoName Sykes Pair,2,85,01:10 pm,12:45 pm,01:43 pm,
David Reid,2,61,09:09 am,08:44 am,09:42 am,
David Reid,2,83,12:58 pm,12:33 pm,01:31 pm,
GH2,2,61,09:09 am,08:44 am,09:42 am,
GH2,2,84,01:04 pm,12:39 pm,01:37 pm,
Dianna Wilson,2,12,10:40 am,10:15 am,11:13 am,
Dianna Wilson,2,43,03:26 pm,03:01 pm,03:59 pm,re_rig
Dianna Wilson,2,61,09:09 am,08:44 am,09:42 am,re_rig
Dianna Wilson,2,85,01:10 pm,12:45 pm,01:43 pm,
Fry,1,86,01:16 pm,12:51 pm,01:49 pm,
Mather,1,86,01:16 pm,12:51 pm,01:49 pm,
Ransom,1,87,01:22 pm,12:57 pm,01:55 pm,
Hodgkin,1,86,01:16 pm,12:51 pm,01:49 pm,
