day,race,start,event_id,event_name,event_code,seats,alpha,lane,heat,distance,school,crew,cox,coach
2,50,2021-10-24T08:00:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,A,1,D1,1500,Mersey,Sarah Ellis,[],[]
2,50,2021-10-24T08:00:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,A,2,D1,1500,BRC/URC,Hannah Wigston,[],[]
2,50,2021-10-24T08:00:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,A,3,D1,1500,Kentish,Isabelle Ritter,[],[]
2,50,2021-10-24T08:00:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,A,4,D1,1500,DMCRC,Chloe Leicester,[],[]
2,50,2021-10-24T08:00:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,A,5,D1,1500,DMCRC,Charlotte Elrick,[],[]
2,51,2021-10-24T08:05:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,B,2,D2,1500,TUBC,Matilda Cocker,[],[]
2,51,2021-10-24T08:05:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,B,3,D2,1500,Sandy Bay,Lucy Balfour,[],[]
2,51,2021-10-24T08:05:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,B,4,D2,1500,New Norfolk,Ella Coulson,[],[]
2,51,2021-10-24T08:05:00+00:00,35,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,B,5,D2,1500,Sandy Bay,Kate Steele,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,1,D1,2000,TUBC,Sophie Robinson,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,2,D1,2000,North Esk,Abbey Boutcher,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,3,D1,2000,Huon,Eve Mure,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,4,D1,2000,Huon,Kate Hall,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,5,D1,2000,North Esk,Lili Wrigley,[],[]
2,52,2021-10-24T08:15:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,C,6,D1,2000,North Esk,J.Malisauskas,[],[]
2,53,2021-10-24T08:21:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,D,2,D2,2000,Ulverstone,Belinda Schultz,[],[]
2,53,2021-10-24T08:21:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,D,3,D2,2000,New Norfolk,Molly McCausland,[],[]
2,53,2021-10-24T08:21:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,D,4,D2,2000,TUBC,Kate Oliver,[],[]
2,53,2021-10-24T08:21:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,D,5,D2,2000,Bucks,Caitlin Ketley,[],[]
2,54,2021-10-24T08:27:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,E,2,D3,2000,TUBC,Ella Triffett,[],[]
2,54,2021-10-24T08:27:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,E,3,D3,2000,Mersey,Olivia Yeates,[],[]
2,54,2021-10-24T08:27:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,E,4,D3,2000,Sandy Bay,Amanda Jackson,[],[]
2,54,2021-10-24T08:27:00+00:00,37,Senior Women's Single Scull,S W 1X (2),1,E,5,D3,2000,Ulverstone,Zoe Campbell,[],[]
2,55,2021-10-24T08:33:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,F,2,D1,2000,DMCRC,Rosie Forsyth,[],[]
2,55,2021-10-24T08:33:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,F,3,D1,2000,Mersey,Catherine Greenhill,[],[]
2,55,2021-10-24T08:33:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,F,4,D1,2000,New Norfolk,Lucy Morgan,[],[]
2,55,2021-10-24T08:33:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,F,5,D1,2000,BRC/TFNDS,Morgan White,[],[]
2,56,2021-10-24T08:39:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,G,2,D2,2000,Friends,Eloise Underwood,[],[]
2,56,2021-10-24T08:39:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,G,3,D2,2000,Friends,Imogen Nation,[],[]
2,56,2021-10-24T08:39:00+00:00,38,Under 19 Women's Coxed Four,U19 W 4+,4,G,4,D2,2000,DMCRC,Heather Curry,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,1,D1,2000,TUBC,Angus Paynter,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,2,D1,2000,North Esk,Connor Ryan,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,3,D1,2000,Tamar,Henry Youl,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,4,D1,2000,Bucks,Alec Paterson,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,5,D1,2000,Bucks,Joseph Wilson,[],[]
2,57,2021-10-24T08:45:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,H,6,D1,2000,North Esk,Laurie Dean,[],[]
2,58,2021-10-24T08:51:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,I,2,D2,2000,TUBC,James Cocker,[],[]
2,58,2021-10-24T08:51:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,I,3,D2,2000,Tamar,William Birchmore,[],[]
2,58,2021-10-24T08:51:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,I,4,D2,2000,TUBC,Harry Bevan,[],[]
2,58,2021-10-24T08:51:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,I,5,D2,2000,TUBC,Samuel Mounter,[],[]
2,58,2021-10-24T08:51:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,I,6,D2,2000,TUBC,Sam Casey,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,1,D3,2000,Sandy Bay,Dave Fisher,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,2,D3,2000,Ulverstone,Michael Wilson,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,3,D3,2000,North Esk,Rohan Fenner,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,4,D3,2000,Tamar,Matthew Wyton,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,5,D3,2000,North Esk,Karl Breier,[],[]
2,59,2021-10-24T08:57:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,J,6,D3,2000,North Esk,Robert Wrigley,[],[]
2,60,2021-10-24T09:03:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,K,1,D4,2000,Tamar,Thomas Bates,[],[]
2,60,2021-10-24T09:03:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,K,2,D4,2000,North Esk,Bentley Fitzgerald,[],[]
2,60,2021-10-24T09:03:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,K,3,D4,2000,Sandy Bay,James Pirie,[],[]
2,60,2021-10-24T09:03:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,K,4,D4,2000,Ulverstone,Andrew Streeter,[],[]
2,60,2021-10-24T09:03:00+00:00,39,Senior Men's Single Scull,S M 1X (2),1,K,5,D4,2000,North Esk,Jesse Hall,[],[]
2,61,2021-10-24T09:09:00+00:00,40,Under 19 Men's Pair,U19 M 2-,2,L,2,D1,2000,Friends,"A.Ibbott,C.Gibson",[],[]
2,61,2021-10-24T09:09:00+00:00,40,Under 19 Men's Pair,U19 M 2-,2,L,3,D1,2000,Friends,"O.Atwell,J.Wilson",[],[]
2,61,2021-10-24T09:09:00+00:00,40,Under 19 Men's Pair,U19 M 2-,2,L,4,D1,2000,Friends,"R.Fox,C.Johnson",[],[]
2,61,2021-10-24T09:09:00+00:00,40,Under 19 Men's Pair,U19 M 2-,2,L,5,D1,2000,New Norfolk,"Thomas,Coulson",[],[]
